contrast,full,RMSE,model,index_model,steps
T1_VBA+,0,326.51,4f_mn_vba_pos,1,T1
T1_VBA-,0,321.44,4f_mn_vba_neg,2,T1
T1_VBA_COMBO,0,317.03,4f_mn_vba_combo,3,T1
QSM_VBA+,0,345.68,4f_chi_vba_pos,4,QSM
QSM_VBA-,0,343.09,4f_chi_vba_neg,5,QSM
QSM_VBA_COMBO,0,356.35,4f_chi_vba_combo,6,QSM
COMBO_SD2,0,307.46,4f_sd2COMBO,7,ZCOMBO
JAC_SD2,0,306.35,4f_sd2Jac,8,JAC
T1w_SD2,0,366.72,4f_sd2Mn,9,T1
QSM_SD2,0,312.51,4f_sd2Chi,10,QSM
JAC_VBA+,0,299.11,4f_jac_vba_pos,11,JAC
JAC_VBA-,0,291.82,4f_jac_vba_neg,12,JAC
JAC_VBA_COMBO,0,292.22,4f_jac_vba_combo,13,JAC
JAC_SD,0,313.27,4f_jac_sd,14,JAC
T1w_SD,0,392.15,4f_Mn_sd,15,T1
QSM_SD,0,344.18,4f_chi_sd,16,QSM
JAC_SD,1,344.39,full_jacsd,17,JAC
T1w_SD,1,344.68,full_mnsd,18,T1
QSM_SD,1,327.09,full_chisd,19,QSM
JAC_SD2,1,76.865,full_jacsd2,20,JAC
T1w_SD2,1,223.48,full_mnsd2,21,T1
QSM_SD2,1,327.09,full_chisd2,22,QSM
COMBO_SD2,1,53.821,full_combosd2,23,ZCOMBO
JAC_VBA+,1,359.01,full_jac_vba_pos,24,JAC
JAC_VBA-,1,350.42,full_jac_vba_neg,25,JAC
JAC_VBA_COMBO,1,349.57,full_jac_VBA_combo,26,JAC
T1_VBA+,1,404.41,full_Mn_VBA_pos,27,T1
T1_VBA-,1,336.6,full_Mn_VBA_neg,28,T1
T1_VBA_COMBO,1,344.83,full_Mn_VBA_combo,29,T1
QSM_VBA+,1,386.47,ful_chi_VBA_pos,30,QSM
QSM_VBA-,1,369.39,full_chi_VBA_neg,31,QSM
QSM_VBA_COMBO,1,271.7,full_chi_combo,32,QSM
T1_VBA+,0,307.48,4f_mn_vba_pos,1,T1
T1_VBA-,0,298.39,4f_mn_vba_neg,2,T1
T1_VBA_COMBO,0,301.63,4f_mn_vba_combo,3,T1
QSM_VBA+,0,293.77,4f_chi_vba_pos,4,QSM
QSM_VBA-,0,287.02,4f_chi_vba_neg,5,QSM
QSM_VBA_COMBO,0,282.68,4f_chi_vba_combo,6,QSM
COMBO_SD2,0,327.18,4f_sd2COMBO,7,ZCOMBO
JAC_SD2,0,281.2,4f_sd2Jac,8,JAC
T1w_SD2,0,397.07,4f_sd2Mn,9,T1
QSM_SD2,0,273.38,4f_sd2Chi,10,QSM
JAC_VBA+,0,286.5,4f_jac_vba_pos,11,JAC
JAC_VBA-,0,270.41,4f_jac_vba_neg,12,JAC
JAC_VBA_COMBO,0,278.03,4f_jac_vba_combo,13,JAC
JAC_SD,0,345.31,4f_jac_sd,14,JAC
T1w_SD,0,360.59,4f_Mn_sd,15,T1
QSM_SD,0,255,4f_chi_sd,16,QSM
JAC_SD,1,247.78,full_jacsd,17,JAC
T1w_SD,1,285.02,full_mnsd,18,T1
QSM_SD,1,254.03,full_chisd,19,QSM
JAC_SD2,1,162,full_jacsd2,20,JAC
T1w_SD2,1,184.68,full_mnsd2,21,T1
QSM_SD2,1,254.03,full_chisd2,22,QSM
COMBO_SD2,1,140.55,full_combosd2,23,ZCOMBO
JAC_VBA+,1,235.67,full_jac_vba_pos,24,JAC
JAC_VBA-,1,219.44,full_jac_vba_neg,25,JAC
JAC_VBA_COMBO,1,218.84,full_jac_VBA_combo,26,JAC
T1_VBA+,1,208.74,full_Mn_VBA_pos,27,T1
T1_VBA-,1,255.95,full_Mn_VBA_neg,28,T1
T1_VBA_COMBO,1,245.16,full_Mn_VBA_combo,29,T1
QSM_VBA+,1,240.93,ful_chi_VBA_pos,30,QSM
QSM_VBA-,1,241.44,full_chi_VBA_neg,31,QSM
QSM_VBA_COMBO,1,280.94,full_chi_combo,32,QSM
T1_VBA+,0,301.04,4f_mn_vba_pos,1,T1
T1_VBA-,0,279.35,4f_mn_vba_neg,2,T1
T1_VBA_COMBO,0,282.57,4f_mn_vba_combo,3,T1
QSM_VBA+,0,323.32,4f_chi_vba_pos,4,QSM
QSM_VBA-,0,308.66,4f_chi_vba_neg,5,QSM
QSM_VBA_COMBO,0,289.99,4f_chi_vba_combo,6,QSM
COMBO_SD2,0,236.91,4f_sd2COMBO,7,ZCOMBO
JAC_SD2,0,265.7,4f_sd2Jac,8,JAC
T1w_SD2,0,285.03,4f_sd2Mn,9,T1
QSM_SD2,0,310.39,4f_sd2Chi,10,QSM
JAC_VBA+,0,299.98,4f_jac_vba_pos,11,JAC
JAC_VBA-,0,299.56,4f_jac_vba_neg,12,JAC
JAC_VBA_COMBO,0,301.32,4f_jac_vba_combo,13,JAC
JAC_SD,0,313.24,4f_jac_sd,14,JAC
T1w_SD,0,296.03,4f_Mn_sd,15,T1
QSM_SD,0,385.28,4f_chi_sd,16,QSM
JAC_SD,1,192.19,full_jacsd,17,JAC
T1w_SD,1,274.7,full_mnsd,18,T1
QSM_SD,1,256.69,full_chisd,19,QSM
JAC_SD2,1,160.5,full_jacsd2,20,JAC
T1w_SD2,1,115.57,full_mnsd2,21,T1
QSM_SD2,1,256.69,full_chisd2,22,QSM
COMBO_SD2,1,106.82,full_combosd2,23,ZCOMBO
JAC_VBA+,1,204.35,full_jac_vba_pos,24,JAC
JAC_VBA-,1,225.82,full_jac_vba_neg,25,JAC
JAC_VBA_COMBO,1,227.72,full_jac_VBA_combo,26,JAC
T1_VBA+,1,211.63,full_Mn_VBA_pos,27,T1
T1_VBA-,1,203.06,full_Mn_VBA_neg,28,T1
T1_VBA_COMBO,1,202.57,full_Mn_VBA_combo,29,T1
QSM_VBA+,1,209.25,ful_chi_VBA_pos,30,QSM
QSM_VBA-,1,225.59,full_chi_VBA_neg,31,QSM
QSM_VBA_COMBO,1,295.13,full_chi_combo,32,QSM
T1_VBA+,0,192.01,4f_mn_vba_pos,1,T1
T1_VBA-,0,196.73,4f_mn_vba_neg,2,T1
T1_VBA_COMBO,0,188.3,4f_mn_vba_combo,3,T1
QSM_VBA+,0,179.41,4f_chi_vba_pos,4,QSM
QSM_VBA-,0,181.62,4f_chi_vba_neg,5,QSM
QSM_VBA_COMBO,0,233.38,4f_chi_vba_combo,6,QSM
COMBO_SD2,0,87.989,4f_sd2COMBO,7,ZCOMBO
JAC_SD2,0,150.95,4f_sd2Jac,8,JAC
T1w_SD2,0,347.21,4f_sd2Mn,9,T1
QSM_SD2,0,219.71,4f_sd2Chi,10,QSM
JAC_VBA+,0,182.19,4f_jac_vba_pos,11,JAC
JAC_VBA-,0,175.55,4f_jac_vba_neg,12,JAC
JAC_VBA_COMBO,0,175.49,4f_jac_vba_combo,13,JAC
JAC_SD,0,230.95,4f_jac_sd,14,JAC
T1w_SD,0,329.41,4f_Mn_sd,15,T1
QSM_SD,0,212.28,4f_chi_sd,16,QSM
JAC_SD,1,300.48,full_jacsd,17,JAC
T1w_SD,1,276.57,full_mnsd,18,T1
QSM_SD,1,286.29,full_chisd,19,QSM
JAC_SD2,1,151.23,full_jacsd2,20,JAC
T1w_SD2,1,136.93,full_mnsd2,21,T1
QSM_SD2,1,286.29,full_chisd2,22,QSM
COMBO_SD2,1,104.4,full_combosd2,23,ZCOMBO
JAC_VBA+,1,218.54,full_jac_vba_pos,24,JAC
JAC_VBA-,1,206.07,full_jac_vba_neg,25,JAC
JAC_VBA_COMBO,1,205.89,full_jac_VBA_combo,26,JAC
T1_VBA+,1,238.09,full_Mn_VBA_pos,27,T1
T1_VBA-,1,262.26,full_Mn_VBA_neg,28,T1
T1_VBA_COMBO,1,255.44,full_Mn_VBA_combo,29,T1
QSM_VBA+,1,261.21,ful_chi_VBA_pos,30,QSM
QSM_VBA-,1,237.98,full_chi_VBA_neg,31,QSM
QSM_VBA_COMBO,1,226.76,full_chi_combo,32,QSM